,Date,Open,High,Low,Close,Adj Close,Volume
0,6/29/10,1.266667008,1.666666985,1.169332981,1.592666984,1.592666984,281494500
1,6/30/10,1.719333053,2.028000116,1.553333044,1.588667035,1.588667035,257806500
2,7/1/10,1.666666985,1.728000045,1.351333022,1.463999987,1.463999987,123282000
3,7/2/10,1.533332944,1.539999962,1.24733305,1.279999971,1.279999971,77097000
4,7/6/10,1.333333015,1.333333015,1.055333018,1.074000001,1.074000001,103003500
5,7/7/10,1.093333006,1.108667016,0.998667002,1.053333044,1.053333044,103825500
6,7/8/10,1.075999975,1.167999983,1.037999988,1.164000034,1.164000034,115671000
7,7/9/10,1.172000051,1.19333303,1.103332996,1.159999967,1.159999967,60759000
8,7/12/10,1.196666956,1.204666972,1.133332968,1.136667013,1.136667013,33037500
9,7/13/10,1.159332991,1.24266696,1.126667023,1.209332943,1.209332943,40201500
10,7/14/10,1.19599998,1.343333006,1.184000015,1.322667003,1.322667003,62928000
11,7/15/10,1.329332948,1.433333039,1.266667008,1.325999975,1.325999975,56097000
12,7/16/10,1.379999995,1.419999957,1.336666942,1.376000047,1.376000047,39319500
13,7/19/10,1.424667001,1.483332992,1.394667029,1.460667014,1.460667014,37297500
14,7/20/10,1.456666946,1.456666946,1.336666942,1.353332996,1.353332996,27379500
15,7/21/10,1.377333045,1.393332958,1.299999952,1.34800005,1.34800005,18787500
16,7/22/10,1.366667032,1.416666985,1.35800004,1.399999976,1.399999976,14367000
17,7/23/10,1.412667036,1.437332988,1.404000044,1.419332981,1.419332981,9804000
18,7/26/10,1.433333039,1.433333039,1.353332996,1.396667004,1.396667004,13833000
19,7/27/10,1.394000053,1.411999941,1.350667,1.370000005,1.370000005,9295500
20,7/28/10,1.370000005,1.393332958,1.367333055,1.381332994,1.381332994,7008000
21,7/29/10,1.384667039,1.39199996,1.333333015,1.356667042,1.356667042,9240000
22,7/30/10,1.346667051,1.362666965,1.303333044,1.329332948,1.329332948,6403500
23,8/2/10,1.366667032,1.398000002,1.355332971,1.394667029,1.394667029,10771500
24,8/3/10,1.399999976,1.463333011,1.388000011,1.463333011,1.463333011,18457500
25,8/4/10,1.463333011,1.478667021,1.389999986,1.417333007,1.417333007,13695000
26,8/5/10,1.43599999,1.436666965,1.336666942,1.363332987,1.363332987,11943000
27,8/6/10,1.340000033,1.343999982,1.301332951,1.305999994,1.305999994,11128500
28,8/9/10,1.326666951,1.332000017,1.29666698,1.30666697,1.30666697,12190500
29,8/10/10,1.309999943,1.309999943,1.254667044,1.268666983,1.268666983,19219500
30,8/11/10,1.246000051,1.258666992,1.190000057,1.19333303,1.19333303,11964000
31,8/12/10,1.186666965,1.19333303,1.159332991,1.173333049,1.173333049,10365000
32,8/13/10,1.212000012,1.230000019,1.177332997,1.221333027,1.221333027,9510000
33,8/16/10,1.230000019,1.253332973,1.217332959,1.251999974,1.251999974,7287000
34,8/17/10,1.264000058,1.293333054,1.251999974,1.276666999,1.276666999,6718500
35,8/18/10,1.305999994,1.305999994,1.24000001,1.251332998,1.251332998,9019500
36,8/19/10,1.235999942,1.283332944,1.222000003,1.25266695,1.25266695,8686500
37,8/20/10,1.243332982,1.274000049,1.233999968,1.273332953,1.273332953,4440000
38,8/23/10,1.27266705,1.359333038,1.266667008,1.342000008,1.342000008,16321500
39,8/24/10,1.283332944,1.31400001,1.263332963,1.279999971,1.279999971,10096500
40,8/25/10,1.277333021,1.332000017,1.237333059,1.326666951,1.326666951,7549500
41,8/26/10,1.325999975,1.351333022,1.30666697,1.316666961,1.316666961,6507000
42,8/27/10,1.316666961,1.324666977,1.299999952,1.313333035,1.313333035,5694000
43,8/30/10,1.313333035,1.345999956,1.307332993,1.324666977,1.324666977,10992000
44,8/31/10,1.310667038,1.319332957,1.288666964,1.298666954,1.298666954,3016500
45,9/1/10,1.307999969,1.379333019,1.30666697,1.363332987,1.363332987,7423500
46,9/2/10,1.35800004,1.416000009,1.353999972,1.404000044,1.404000044,7306500
47,9/3/10,1.391332984,1.419999957,1.377333045,1.403332949,1.403332949,6519000
48,9/7/10,1.373999953,1.399999976,1.366667032,1.369333029,1.369333029,3651000
49,9/8/10,1.377333045,1.396667004,1.373332977,1.393332958,1.393332958,4326000
50,9/9/10,1.399999976,1.403332949,1.379333019,1.380666971,1.380666971,5643000
51,9/10/10,1.383332968,1.395333052,1.317332983,1.344666958,1.344666958,5799000
52,9/13/10,1.392667055,1.393332958,1.366667032,1.381332994,1.381332994,5412000
53,9/14/10,1.369333029,1.440000057,1.368667006,1.407999992,1.407999992,9820500
54,9/15/10,1.398666978,1.466667056,1.386000037,1.465332985,1.465332985,10269000
55,9/16/10,1.476667047,1.54400003,1.38933301,1.396000028,1.396000028,40267500
56,9/17/10,1.401332974,1.421332955,1.320000052,1.348667026,1.348667026,17977500
57,9/20/10,1.378000021,1.423333049,1.343999982,1.404000044,1.404000044,14212500
58,9/21/10,1.392667055,1.436666965,1.378000021,1.384667039,1.384667039,11940000
59,9/22/10,1.391332984,1.396667004,1.320000052,1.324666977,1.324666977,14443500
